POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
S,75.25,231,4.62,22,32.0,116,4.41,7.36,1
LB,72.88,224,4.71,22,35.5,123,4.25,7.03,0
WR,70.5,183,4.53,15,33.5,123,4.45,7.09,1
LB,74.63,245,4.61,20,37.0,121,4.38,7.49,0
OT,76.25,317,4.78,21,34.0,114,4.36,7.31,1
TE,76.63,244,4.73,20,32.6,114,4.44,7.31,0
QB,73.5,212,4.52,19,36.0,125,4.13,7.31,1
DT,73.75,299,4.98,28,31.0,114,4.64,7.3,0
QB,75.88,221,5.2,20,25.5,101,4.78,7.64,0
RB,71.0,218,4.42,18,36.0,123,4.4,7.14,0
CB,70.0,202,4.54,17,40.0,127,3.95,6.72,0
RB,69.63,198,4.4,21,40.0,130,4.46,7.31,0
QB,72.6,241,4.87,18,31.5,105,4.76,7.31,0
QB,76.25,225,4.91,19,27.0,113,4.51,7.26,0
OT,75.4,306,5.19,18,27.0,106,4.63,7.31,1
WR,74.88,216,4.48,21,36.5,122,4.17,6.71,1
QB,73.5,199,4.83,15,34.0,116,4.13,7.31,1
RB,68.9,213,4.73,18,33.0,115,4.14,7.4,1
WR,71.9,199,4.51,21,33.5,110,4.31,7.2,0
S,72.8,205,4.36,15,35.5,117,4.29,7.31,1
WR,72.5,226,4.49,19,36.5,120,4.25,7.0,1
LB,73.4,238,4.76,23,31.5,110,4.28,7.33,1
QB,73.88,213,4.63,20,30.0,111,4.49,7.36,0
OT,77.5,306,4.78,20,32.6,115,4.43,7.31,0
TE,78.13,259,4.83,19,34.5,113,4.37,7.24,1
S,72.1,209,4.66,24,33.5,111,4.33,7.31,0
OG,75.5,306,5.23,28,26.0,98,5.02,7.83,1
DT,75.5,244,4.95,22,32.0,114,4.21,7.31,1
OG,74.75,326,5.25,38,26.5,93,4.8,8.3,0
S,74.4,201,4.5,9,36.5,130,4.18,7.09,1
RB,69.5,216,4.34,27,40.0,117,4.29,6.99,1
TE,74.75,248,4.62,22,38.0,127,4.18,7.43,0
RB,70.38,201,4.48,17,39.5,130,4.31,7.07,0
DE,74.1,239,4.73,23,29.5,110,4.35,7.31,0
CB,72.25,197,4.61,14,33.0,124,4.23,7.09,1
CB,71.38,192,4.47,19,34.0,119,3.9,6.76,1
OG,77.8,277,5.03,21,29.0,109,4.66,7.31,0
WR,72.3,194,4.6,21,33.5,119,4.39,7.31,0
DT,75.5,294,4.94,35,32.5,115,4.2,7.23,0
QB,75.88,232,4.86,21,32.5,108,4.29,7.47,0
WR,74.9,213,4.65,20,33.0,120,4.26,7.31,1
